OrderDate,ProductKey,CustomerKey,TerritoryKey,OrderQuantity
1/1/2020,342,15491,5,1
1/1/2020,375,16538,8,1
1/1/2020,375,15094,7,1
1/2/2020,356,12276,8,1
1/2/2020,360,13647,9,1
1/2/2020,356,13630,9,1
1/2/2020,383,19416,10,1
1/2/2020,369,23411,9,1
1/2/2020,324,20892,10,1
1/2/2020,330,19318,7,1
1/2/2020,368,16552,8,1
1/2/2020,362,13631,9,1
1/2/2020,369,23415,9,1
1/2/2020,340,20885,10,1
1/2/2020,334,15517,4,1
1/3/2020,332,15497,4,1
1/3/2020,379,23344,9,1
1/3/2020,356,12459,10,1
1/4/2020,360,26729,1,1
1/4/2020,369,16821,8,1
1/4/2020,369,23421,9,1
1/5/2020,360,21148,6,1
1/5/2020,373,23418,9,1
1/5/2020,326,20886,10,1
1/5/2020,360,13959,9,1
1/5/2020,352,26695,4,1
1/5/2020,373,23118,9,1
1/5/2020,371,17750,10,1
1/6/2020,373,23409,9,1
1/6/2020,371,23311,9,1
1/7/2020,381,17716,7,1
1/7/2020,362,13620,9,1
1/7/2020,324,15489,1,1
1/7/2020,368,16567,8,1
1/7/2020,383,14336,1,1
1/7/2020,338,15492,1,1
1/7/2020,360,13651,9,1
1/7/2020,369,17753,10,1
1/7/2020,352,12463,10,1
1/8/2020,354,13643,9,1
1/8/2020,352,29361,7,1
1/8/2020,383,19424,10,1
1/9/2020,352,26805,4,1
1/9/2020,368,15455,7,1
1/9/2020,381,24924,9,1
1/9/2020,373,16603,8,1
1/9/2020,352,26786,4,1
1/9/2020,362,13527,9,1
1/10/2020,360,20736,6,1
1/10/2020,328,26657,9,1
1/10/2020,381,24922,9,1
1/10/2020,360,13970,9,1
1/11/2020,356,13528,9,1
1/11/2020,389,24921,9,1
1/12/2020,328,15482,4,1
1/12/2020,358,13618,9,1
1/12/2020,360,13650,9,1
1/12/2020,362,26711,4,1
1/12/2020,214,26811,4,1
1/12/2020,215,12473,10,1
1/12/2020,218,17755,10,1
1/13/2020,219,23313,9,1
1/13/2020,220,13966,9,1
1/13/2020,223,13856,4,1
1/13/2020,226,17632,10,1
1/13/2020,229,26653,9,1
1/13/2020,232,13960,9,1
1/13/2020,235,17772,10,1
1/13/2020,445,26734,1,1
1/13/2020,446,19418,10,1
1/13/2020,447,19034,8,1
1/13/2020,448,17714,7,1
1/13/2020,449,16540,8,1
1/14/2020,450,26705,4,1
1/14/2020,451,13626,9,1
1/14/2020,452,26727,1,1
1/14/2020,453,13953,9,1
1/15/2020,454,26735,1,1
1/15/2020,455,20880,10,1
1/16/2020,456,13526,9,1
1/16/2020,457,15086,7,1
1/16/2020,458,12560,10,1
1/16/2020,459,15502,1,1
1/16/2020,460,26703,1,1
1/17/2020,461,26694,1,1
1/17/2020,462,26710,4,1
1/17/2020,464,19382,10,1
1/17/2020,466,13644,9,1
1/17/2020,468,14297,4,1
1/18/2020,469,25010,9,1
1/18/2020,470,20835,8,1
1/19/2020,471,26591,9,1
1/19/2020,472,26725,1,1
1/19/2020,473,13957,9,1
1/19/2020,474,17644,10,1
1/19/2020,475,13974,9,1
1/20/2020,476,13968,9,1
1/20/2020,477,23413,9,1
1/20/2020,478,26724,1,1
1/21/2020,479,13619,9,1
1/21/2020,480,26726,1,1
1/21/2020,481,23417,9,1
1/21/2020,482,13649,9,1
1/21/2020,483,20836,8,1
1/21/2020,484,23310,9,1
1/21/2020,485,25011,9,1
1/22/2020,486,26656,9,1
1/22/2020,487,13742,1,1
1/22/2020,488,17639,10,1
1/22/2020,489,14292,4,1
1/22/2020,490,26529,6,1
1/22/2020,491,13625,9,1
1/22/2020,528,13629,9,1
1/22/2020,529,23320,9,1
1/22/2020,530,19030,8,1
1/23/2020,535,26655,9,1
1/23/2020,536,12404,10,1
1/23/2020,537,15484,4,1
1/23/2020,538,13855,4,1
1/23/2020,539,13646,9,1
1/23/2020,540,23348,9,1
1/23/2020,541,20842,8,1
1/23/2020,369,23322,9,1
1/24/2020,379,13862,4,1
1/24/2020,377,23410,9,1
1/24/2020,370,16565,8,1
1/24/2020,362,12559,10,1
1/24/2020,324,15506,4,1
1/24/2020,354,12291,8,1
1/24/2020,360,29364,7,1
1/25/2020,332,26661,9,1
1/25/2020,354,28885,7,1
1/26/2020,371,23323,9,1
1/26/2020,362,26723,4,1
1/26/2020,360,12460,10,1
1/26/2020,360,13633,9,1
1/26/2020,330,26660,9,1
1/26/2020,370,23420,9,1
1/26/2020,356,29380,7,1
1/26/2020,377,15463,7,1
1/26/2020,369,23325,9,1
1/28/2020,370,13745,1,1
1/28/2020,352,13965,9,1
1/28/2020,358,13971,9,1
1/28/2020,368,23331,9,1
1/28/2020,214,16572,8,1
1/29/2020,215,13744,1,1
1/29/2020,218,17782,10,1
1/29/2020,219,17744,10,1
1/29/2020,220,17747,10,1
1/29/2020,223,23116,9,1
1/30/2020,226,13648,9,1
1/30/2020,229,19319,7,1
1/30/2020,232,23119,9,1
1/30/2020,235,15501,4,1
1/30/2020,445,16549,8,1
1/30/2020,446,25020,9,1
1/31/2020,447,13747,1,1
1/31/2020,448,23343,9,1
1/31/2020,449,20708,6,1
1/31/2020,450,26731,4,1
1/31/2020,451,23321,9,1
1/31/2020,452,21138,6,1
1/31/2020,453,15085,7,1
1/31/2020,454,29389,7,1
2/1/2020,455,13865,4,1
2/1/2020,456,26744,9,1
2/1/2020,457,27054,4,1
2/2/2020,458,16944,8,1
2/2/2020,459,16830,8,1
2/2/2020,460,23526,9,1
2/2/2020,461,14134,9,1
2/2/2020,462,17890,10,1
2/2/2020,464,26815,1,1
2/2/2020,466,23545,9,1
2/2/2020,468,15525,4,1
2/2/2020,469,14129,9,1
2/2/2020,470,25033,9,1
2/3/2020,471,20845,8,1
2/3/2020,472,19435,10,1
2/3/2020,473,20922,10,1
2/4/2020,474,23423,9,1
2/4/2020,475,23531,9,1
2/4/2020,476,25034,9,1
2/4/2020,477,17829,10,1
2/4/2020,478,17889,10,1
2/4/2020,479,23575,9,1
2/4/2020,480,23541,9,1
2/4/2020,481,17795,10,1
2/4/2020,482,23432,9,1
2/4/2020,483,15521,4,1
2/4/2020,484,19343,7,1
2/4/2020,485,14103,9,1
2/4/2020,486,14337,1,1
2/4/2020,487,27020,4,1
2/4/2020,488,26749,9,1
2/4/2020,489,14130,9,1
2/4/2020,490,21331,6,1
2/5/2020,491,14032,9,1
2/5/2020,528,23532,9,1
2/5/2020,529,26113,6,1
2/5/2020,530,27078,4,1
2/5/2020,535,27017,1,1
2/6/2020,536,17792,10,1
2/6/2020,537,15531,1,1
2/6/2020,538,29404,7,1
2/6/2020,539,12390,8,1
2/6/2020,540,15537,4,1
2/6/2020,541,25021,9,1
2/6/2020,375,17191,8,1
2/6/2020,320,15529,1,1
2/6/2020,379,23593,9,1
2/6/2020,385,25035,9,1
2/6/2020,362,27058,1,1
2/6/2020,369,13873,4,1
2/6/2020,328,15534,1,1
2/6/2020,358,21266,6,1
